标题,卖点,总价,单价,户型,楼层,共有楼层数,装修,朝向,建造时间,面积,小区,区域,所属区,梯户比例,是否有电梯,详情页,
民航东门小区  户型方正  采光通风 满五物业 一梯户型,民航东门小区  户型方正  采光通风 满五物业 一梯户型,320,34043,3室1厅,低楼层,10,其他,东南,1995,94,民航小区向云新街,白云大道南,白云,一梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403386497.html
大型社区，满五年南向两房，业主诚意放卖,此房满五不唯一，南向两房，楼层好，视野开阔，采光充足,360,58065,2室1厅,中楼层,14,精装,南,2000,62,愉景雅苑,新港西,海珠,一梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403382025.html
晓港湾小区 3条地铁汇交 大型花园,东南向 正规两房！加装电梯 平层入户，使用率高！,240,38248,2室1厅,中楼层,9,简装,东南,1999,62.75,晓港湾,东晓南,海珠,一梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403391847.html
侨小少有一梯两户，南北对流，精装修,满五唯一，一梯两户，南北对流，精装修尚品宅配加装,432,68161,2室1厅,低楼层,8,精装,南 北,1990,63.38,淘金路,淘金,越秀,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403402632.html
新堤一横路 西南向 户型方正 旧部前,新堤一横路 西南向 户型方正 旧部前,251,33467,2室1厅,中楼层,10,简装,东,0,75,新堤一横路,解放南,越秀,一梯四户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403402149.html
保利塞纳维拉 三房带主套单位  花园小区 楼龄较新,南北对流 户型格局方正 装修保养,305,32303,3室2厅,低楼层,18,精装,南 北,2015,94.42,保利塞纳维拉,龙溪,荔湾,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403374739.html
富力碧涛湾 电梯两房 保养新净 产权清晰 望小区花园,安静舒适，望小区花园，保养新净，证满5年，没有抵押,258,37349,2室1厅,中楼层,11,精装,北,1998,69.08,富力碧涛湾,罗冲围,白云,一梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403380135.html
富力东堤湾 3室2厅 东南,链家网真房源，更多房源信息请联系经纪人,1398,114282,3室2厅,高楼层,30,精装,东南,2006,122.33,富力东堤湾,杨箕,越秀,三梯七户,有,商品房,https://gz.lianjia.com/ershoufang/108403383533.html
此房三房东南西向，小区管理 安静视野好看小蛮腰,此房满五不唯一 ，户型方正实用，小区管理 安静不吵，交通便,960,82362,3室2厅,中楼层,24,精装,东 南 西南 西北,2004,116.56,五羊华轩,五羊新城,越秀,三梯十户,有,商品房,https://gz.lianjia.com/ershoufang/108403374681.html
九洲海誉 电梯高层 精装修 大2房  望华工  视野靓,户型方正，高楼层， 采光好，业主诚心卖 ，装修好，保养好,680,81040,2室1厅,中楼层,34,精装,东北,2016,83.91,九洲海誉居,粤垦,天河,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403402652.html
大户之家.三房两卫.中楼层视野宽阔采光充足,此房证满五年，业主产权清晰。中楼层，阳台视野好，房屋格局好。,280,27514,3室2厅,中楼层,6,简装,东南,2000,101.77,云山居,元下田,白云,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403383680.html
楼层采光好，业主诚心卖，看房方便,楼层采光好，业主诚心卖，看房方便,238,39800,2室1厅,高楼层,21,简装,南,2000,59.8,雅怡阁,东圃,天河,四梯十七户,有,商品房,https://gz.lianjia.com/ershoufang/108403401632.html
此房满5唯一   中层  户型方正实用3房   保养好,此房满5唯一  电梯中层  自住保养好  户型方正实用,328,34861,3室2厅,中楼层,10,简装,东南,2008,94.09,丰年华庭,茶滘,荔湾,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403383696.html
金地荔湖城　三叠院　188.37方　南北对流,小区背山望水 空气度好 配套齐全适合自住，保养好。,310,16457,4室2厅,低楼层,3,精装,南 北,0,188.37,金地荔湖城,永和,增城,一梯两户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403219090.html
万科云城米酷 1室0厅 北,链家网真房源，更多房源信息请联系经纪人,38,20653,1室0厅,低楼层,17,精装,北,2017,18.4,万科云城米酷,智慧城,天河,三梯八十二户,有,商品房,https://gz.lianjia.com/ershoufang/108403385056.html
地铁口南北对流精装大三房，使用率高，装修保养好,此房过五唯一，近地铁，南北对流双阳台，格局方正，小区环境优美,275,22376,3室1厅,中楼层,20,精装,南,2011,122.9,豪进山湖珺璟,白江,增城,两梯三户,有,商品房,https://gz.lianjia.com/ershoufang/108403174208.html
珠江壹城 4室3厅 南,链家网真房源，更多房源信息请联系经纪人,422,13008,4室3厅,低楼层,2,简装,南,0,324.44,珠江壹城,神岗镇,从化,一梯一户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403278907.html
